"global_step","HalfCheetah-v4__SAC_10Q2_HalfCheetah__4__1745491324 - _step","HalfCheetah-v4__SAC_10Q2_HalfCheetah__4__1745491324 - _step__MIN","HalfCheetah-v4__SAC_10Q2_HalfCheetah__4__1745491324 - _step__MAX","HalfCheetah-v4__SAC_10Q2_HalfCheetah__4__1745491324 - charts/episodic_return","HalfCheetah-v4__SAC_10Q2_HalfCheetah__4__1745491324 - charts/episodic_return__MIN","HalfCheetah-v4__SAC_10Q2_HalfCheetah__4__1745491324 - charts/episodic_return__MAX","HalfCheetah-v4__SAC_10Q2_HalfCheetah__3__1745482698 - _step","HalfCheetah-v4__SAC_10Q2_HalfCheetah__3__1745482698 - _step__MIN","HalfCheetah-v4__SAC_10Q2_HalfCheetah__3__1745482698 - _step__MAX","HalfCheetah-v4__SAC_10Q2_HalfCheetah__3__1745482698 - charts/episodic_return","HalfCheetah-v4__SAC_10Q2_HalfCheetah__3__1745482698 - charts/episodic_return__MIN","HalfCheetah-v4__SAC_10Q2_HalfCheetah__3__1745482698 - charts/episodic_return__MAX","HalfCheetah-v4__SAC_10Q2_HalfCheetah__2__1745473886 - _step","HalfCheetah-v4__SAC_10Q2_HalfCheetah__2__1745473886 - _step__MIN","HalfCheetah-v4__SAC_10Q2_HalfCheetah__2__1745473886 - _step__MAX","HalfCheetah-v4__SAC_10Q2_HalfCheetah__2__1745473886 - charts/episodic_return","HalfCheetah-v4__SAC_10Q2_HalfCheetah__2__1745473886 - charts/episodic_return__MIN","HalfCheetah-v4__SAC_10Q2_HalfCheetah__2__1745473886 - charts/episodic_return__MAX","HalfCheetah-v4__SAC_10Q2_HalfCheetah__1__1745465244 - _step","HalfCheetah-v4__SAC_10Q2_HalfCheetah__1__1745465244 - _step__MIN","HalfCheetah-v4__SAC_10Q2_HalfCheetah__1__1745465244 - _step__MAX","HalfCheetah-v4__SAC_10Q2_HalfCheetah__1__1745465244 - charts/episodic_return","HalfCheetah-v4__SAC_10Q2_HalfCheetah__1__1745465244 - charts/episodic_return__MIN","HalfCheetah-v4__SAC_10Q2_HalfCheetah__1__1745465244 - charts/episodic_return__MAX","HalfCheetah-v4__SAC_10Q2_HalfCheetah__0__1745456697 - _step","HalfCheetah-v4__SAC_10Q2_HalfCheetah__0__1745456697 - _step__MIN","HalfCheetah-v4__SAC_10Q2_HalfCheetah__0__1745456697 - _step__MAX","HalfCheetah-v4__SAC_10Q2_HalfCheetah__0__1745456697 - charts/episodic_return","HalfCheetah-v4__SAC_10Q2_HalfCheetah__0__1745456697 - charts/episodic_return__MIN","HalfCheetah-v4__SAC_10Q2_HalfCheetah__0__1745456697 - charts/episodic_return__MAX"
"73999","763","763","763","6498.68212890625","6498.68212890625","6498.68212890625","763","763","763","7348.71435546875","7348.71435546875","7348.71435546875","763","763","763","8137.6689453125","8137.6689453125","8137.6689453125","763","763","763","7460.28955078125","7460.28955078125","7460.28955078125","763","763","763","6466.18994140625","6466.18994140625","6466.18994140625"
"74999","774","774","774","6547.91943359375","6547.91943359375","6547.91943359375","774","774","774","7402.93603515625","7402.93603515625","7402.93603515625","774","774","774","8203.83984375","8203.83984375","8203.83984375","774","774","774","7990.646484375","7990.646484375","7990.646484375","774","774","774","6332.583984375","6332.583984375","6332.583984375"
"75999","785","785","785","6813.5419921875","6813.5419921875","6813.5419921875","785","785","785","7089.39990234375","7089.39990234375","7089.39990234375","785","785","785","8279.41796875","8279.41796875","8279.41796875","785","785","785","7695.77490234375","7695.77490234375","7695.77490234375","785","785","785","6393.91064453125","6393.91064453125","6393.91064453125"
"76999","796","796","796","6607.43505859375","6607.43505859375","6607.43505859375","796","796","796","7258.67138671875","7258.67138671875","7258.67138671875","796","796","796","8105.75927734375","8105.75927734375","8105.75927734375","796","796","796","7657.2939453125","7657.2939453125","7657.2939453125","796","796","796","6353.85546875","6353.85546875","6353.85546875"
"77999","807","807","807","6634.50439453125","6634.50439453125","6634.50439453125","807","807","807","7583.75390625","7583.75390625","7583.75390625","807","807","807","8382.693359375","8382.693359375","8382.693359375","807","807","807","7758.1875","7758.1875","7758.1875","807","807","807","6291.708984375","6291.708984375","6291.708984375"
"78999","818","818","818","6749.6640625","6749.6640625","6749.6640625","818","818","818","7630.6650390625","7630.6650390625","7630.6650390625","818","818","818","8281.3671875","8281.3671875","8281.3671875","818","818","818","7488.91064453125","7488.91064453125","7488.91064453125","818","818","818","6712.47607421875","6712.47607421875","6712.47607421875"
"79999","829","829","829","6914.88330078125","6914.88330078125","6914.88330078125","829","829","829","7551.43115234375","7551.43115234375","7551.43115234375","829","829","829","8310.2109375","8310.2109375","8310.2109375","829","829","829","7689.5693359375","7689.5693359375","7689.5693359375","829","829","829","6695.84130859375","6695.84130859375","6695.84130859375"
"80999","840","840","840","7017.16357421875","7017.16357421875","7017.16357421875","840","840","840","7838.97509765625","7838.97509765625","7838.97509765625","840","840","840","8477.5185546875","8477.5185546875","8477.5185546875","840","840","840","7820.87158203125","7820.87158203125","7820.87158203125","840","840","840","6704.5498046875","6704.5498046875","6704.5498046875"
"81999","851","851","851","6872.09375","6872.09375","6872.09375","851","851","851","7705.58740234375","7705.58740234375","7705.58740234375","851","851","851","8145.6748046875","8145.6748046875","8145.6748046875","851","851","851","7804.98583984375","7804.98583984375","7804.98583984375","851","851","851","6899.7529296875","6899.7529296875","6899.7529296875"
"82999","862","862","862","6541.33349609375","6541.33349609375","6541.33349609375","862","862","862","7749.86962890625","7749.86962890625","7749.86962890625","862","862","862","8506.8642578125","8506.8642578125","8506.8642578125","862","862","862","7764.07958984375","7764.07958984375","7764.07958984375","862","862","862","6524.09765625","6524.09765625","6524.09765625"
"83999","873","873","873","6957.78466796875","6957.78466796875","6957.78466796875","873","873","873","7599.3095703125","7599.3095703125","7599.3095703125","873","873","873","8632.986328125","8632.986328125","8632.986328125","873","873","873","8024.8828125","8024.8828125","8024.8828125","873","873","873","6555.65576171875","6555.65576171875","6555.65576171875"
"84999","884","884","884","7222.888671875","7222.888671875","7222.888671875","884","884","884","7576.10595703125","7576.10595703125","7576.10595703125","884","884","884","8408.8427734375","8408.8427734375","8408.8427734375","884","884","884","7546.8173828125","7546.8173828125","7546.8173828125","884","884","884","3686.942626953125","3686.942626953125","3686.942626953125"
"85999","895","895","895","6767.75439453125","6767.75439453125","6767.75439453125","895","895","895","7483.06591796875","7483.06591796875","7483.06591796875","895","895","895","8614.8359375","8614.8359375","8614.8359375","895","895","895","7977.28857421875","7977.28857421875","7977.28857421875","895","895","895","7187.17919921875","7187.17919921875","7187.17919921875"
"86999","906","906","906","7047.80517578125","7047.80517578125","7047.80517578125","906","906","906","7705.45849609375","7705.45849609375","7705.45849609375","906","906","906","8462.40234375","8462.40234375","8462.40234375","906","906","906","8021.56640625","8021.56640625","8021.56640625","906","906","906","7015.185546875","7015.185546875","7015.185546875"
"87999","917","917","917","7321.0712890625","7321.0712890625","7321.0712890625","917","917","917","8042.46240234375","8042.46240234375","8042.46240234375","917","917","917","8572.1357421875","8572.1357421875","8572.1357421875","917","917","917","7800.53125","7800.53125","7800.53125","917","917","917","7009.5625","7009.5625","7009.5625"
"88999","928","928","928","7101.99365234375","7101.99365234375","7101.99365234375","928","928","928","7783.923828125","7783.923828125","7783.923828125","928","928","928","8490.30078125","8490.30078125","8490.30078125","928","928","928","8169.23876953125","8169.23876953125","8169.23876953125","928","928","928","7162.19921875","7162.19921875","7162.19921875"
"89999","939","939","939","6984.53125","6984.53125","6984.53125","939","939","939","7704.92919921875","7704.92919921875","7704.92919921875","939","939","939","8442.7666015625","8442.7666015625","8442.7666015625","939","939","939","7834.4765625","7834.4765625","7834.4765625","939","939","939","7010.74267578125","7010.74267578125","7010.74267578125"
"90999","950","950","950","7184.5693359375","7184.5693359375","7184.5693359375","950","950","950","7954.33544921875","7954.33544921875","7954.33544921875","950","950","950","8518.8720703125","8518.8720703125","8518.8720703125","950","950","950","7700.91845703125","7700.91845703125","7700.91845703125","950","950","950","7061.03125","7061.03125","7061.03125"
"91999","961","961","961","6992.28515625","6992.28515625","6992.28515625","961","961","961","7902.46435546875","7902.46435546875","7902.46435546875","961","961","961","8651.2568359375","8651.2568359375","8651.2568359375","961","961","961","8024.38037109375","8024.38037109375","8024.38037109375","961","961","961","7482.02392578125","7482.02392578125","7482.02392578125"
"92999","972","972","972","7598.2841796875","7598.2841796875","7598.2841796875","972","972","972","7835.82763671875","7835.82763671875","7835.82763671875","972","972","972","8624.1298828125","8624.1298828125","8624.1298828125","972","972","972","8206.5869140625","8206.5869140625","8206.5869140625","972","972","972","7205.3212890625","7205.3212890625","7205.3212890625"
"93999","983","983","983","7323.59521484375","7323.59521484375","7323.59521484375","983","983","983","7935.5625","7935.5625","7935.5625","983","983","983","8753.6015625","8753.6015625","8753.6015625","983","983","983","8011.3017578125","8011.3017578125","8011.3017578125","983","983","983","7552.39404296875","7552.39404296875","7552.39404296875"
"94999","994","994","994","7378.615234375","7378.615234375","7378.615234375","994","994","994","8131.8583984375","8131.8583984375","8131.8583984375","994","994","994","8442.8994140625","8442.8994140625","8442.8994140625","994","994","994","8448.6103515625","8448.6103515625","8448.6103515625","994","994","994","7293.3603515625","7293.3603515625","7293.3603515625"
"95999","1005","1005","1005","7511.02294921875","7511.02294921875","7511.02294921875","1005","1005","1005","7812.619140625","7812.619140625","7812.619140625","1005","1005","1005","8703.91015625","8703.91015625","8703.91015625","1005","1005","1005","8045.087890625","8045.087890625","8045.087890625","1005","1005","1005","7473.40185546875","7473.40185546875","7473.40185546875"
"96999","1016","1016","1016","7668.32861328125","7668.32861328125","7668.32861328125","1016","1016","1016","8074.6748046875","8074.6748046875","8074.6748046875","1016","1016","1016","8794.7646484375","8794.7646484375","8794.7646484375","1016","1016","1016","8331.8974609375","8331.8974609375","8331.8974609375","1016","1016","1016","7671.51416015625","7671.51416015625","7671.51416015625"
"97999","1027","1027","1027","7520.552734375","7520.552734375","7520.552734375","1027","1027","1027","7881.97412109375","7881.97412109375","7881.97412109375","1027","1027","1027","8467.2158203125","8467.2158203125","8467.2158203125","1027","1027","1027","7979.7861328125","7979.7861328125","7979.7861328125","1027","1027","1027","7551.29931640625","7551.29931640625","7551.29931640625"
"98999","1038","1038","1038","7612.4365234375","7612.4365234375","7612.4365234375","1038","1038","1038","8301.2939453125","8301.2939453125","8301.2939453125","1038","1038","1038","8864.0634765625","8864.0634765625","8864.0634765625","1038","1038","1038","8454.4814453125","8454.4814453125","8454.4814453125","1038","1038","1038","7658.57763671875","7658.57763671875","7658.57763671875"
"99999","1049","1049","1049","7666.09814453125","7666.09814453125","7666.09814453125","1049","1049","1049","8251.259765625","8251.259765625","8251.259765625","1049","1049","1049","8774.103515625","8774.103515625","8774.103515625","1049","1049","1049","8237.875","8237.875","8237.875","1049","1049","1049","7481.8642578125","7481.8642578125","7481.8642578125"
"100999","1060","1060","1060","7449.2568359375","7449.2568359375","7449.2568359375","1060","1060","1060","8000.583984375","8000.583984375","8000.583984375","1060","1060","1060","8683.27734375","8683.27734375","8683.27734375","1060","1060","1060","8331.5205078125","8331.5205078125","8331.5205078125","1060","1060","1060","7699.7548828125","7699.7548828125","7699.7548828125"
"101999","1071","1071","1071","7697.615234375","7697.615234375","7697.615234375","1071","1071","1071","8300.068359375","8300.068359375","8300.068359375","1071","1071","1071","8604.7060546875","8604.7060546875","8604.7060546875","1071","1071","1071","8145.626953125","8145.626953125","8145.626953125","1071","1071","1071","7909.2724609375","7909.2724609375","7909.2724609375"
"102999","1082","1082","1082","7720.0380859375","7720.0380859375","7720.0380859375","1082","1082","1082","8015.45263671875","8015.45263671875","8015.45263671875","1082","1082","1082","8798.7744140625","8798.7744140625","8798.7744140625","1082","1082","1082","8351.0078125","8351.0078125","8351.0078125","1082","1082","1082","8002.70068359375","8002.70068359375","8002.70068359375"
"103999","1093","1093","1093","7472.8291015625","7472.8291015625","7472.8291015625","1093","1093","1093","8287.296875","8287.296875","8287.296875","1093","1093","1093","8864.765625","8864.765625","8864.765625","1093","1093","1093","8548.8017578125","8548.8017578125","8548.8017578125","1093","1093","1093","8113.30810546875","8113.30810546875","8113.30810546875"
"104999","1104","1104","1104","7551.046875","7551.046875","7551.046875","1104","1104","1104","8049.85498046875","8049.85498046875","8049.85498046875","1104","1104","1104","8966.5927734375","8966.5927734375","8966.5927734375","1104","1104","1104","8432.818359375","8432.818359375","8432.818359375","1104","1104","1104","7871.69287109375","7871.69287109375","7871.69287109375"
"105999","1115","1115","1115","7769.61865234375","7769.61865234375","7769.61865234375","1115","1115","1115","8390.521484375","8390.521484375","8390.521484375","1115","1115","1115","8788.1123046875","8788.1123046875","8788.1123046875","1115","1115","1115","8432.8154296875","8432.8154296875","8432.8154296875","1115","1115","1115","7471.74755859375","7471.74755859375","7471.74755859375"
"106999","1126","1126","1126","7837.0703125","7837.0703125","7837.0703125","1126","1126","1126","8077.8203125","8077.8203125","8077.8203125","1126","1126","1126","8859.6279296875","8859.6279296875","8859.6279296875","1126","1126","1126","8643.671875","8643.671875","8643.671875","1126","1126","1126","7692.166015625","7692.166015625","7692.166015625"
"107999","1137","1137","1137","7757.140625","7757.140625","7757.140625","1137","1137","1137","8230.3779296875","8230.3779296875","8230.3779296875","1137","1137","1137","8851.5126953125","8851.5126953125","8851.5126953125","1137","1137","1137","8638.6201171875","8638.6201171875","8638.6201171875","1137","1137","1137","8243.3544921875","8243.3544921875","8243.3544921875"
"108999","1148","1148","1148","7881.6005859375","7881.6005859375","7881.6005859375","1148","1148","1148","8223.744140625","8223.744140625","8223.744140625","1148","1148","1148","9047.771484375","9047.771484375","9047.771484375","1148","1148","1148","8949.8017578125","8949.8017578125","8949.8017578125","1148","1148","1148","3909.515380859375","3909.515380859375","3909.515380859375"
"109999","1159","1159","1159","7875.85107421875","7875.85107421875","7875.85107421875","1159","1159","1159","8343.4775390625","8343.4775390625","8343.4775390625","1159","1159","1159","8867.4619140625","8867.4619140625","8867.4619140625","1159","1159","1159","8467.4453125","8467.4453125","8467.4453125","1159","1159","1159","8178.85107421875","8178.85107421875","8178.85107421875"
"110999","1170","1170","1170","8083.83837890625","8083.83837890625","8083.83837890625","1170","1170","1170","8318.6005859375","8318.6005859375","8318.6005859375","1170","1170","1170","9128.19921875","9128.19921875","9128.19921875","1170","1170","1170","8672.35546875","8672.35546875","8672.35546875","1170","1170","1170","8305.2275390625","8305.2275390625","8305.2275390625"
"111999","1181","1181","1181","7737.22119140625","7737.22119140625","7737.22119140625","1181","1181","1181","8382.2216796875","8382.2216796875","8382.2216796875","1181","1181","1181","9007.1943359375","9007.1943359375","9007.1943359375","1181","1181","1181","8522.3583984375","8522.3583984375","8522.3583984375","1181","1181","1181","8617.1142578125","8617.1142578125","8617.1142578125"
"112999","1192","1192","1192","8222.4619140625","8222.4619140625","8222.4619140625","1192","1192","1192","8135.33544921875","8135.33544921875","8135.33544921875","1192","1192","1192","9084.611328125","9084.611328125","9084.611328125","1192","1192","1192","8775.888671875","8775.888671875","8775.888671875","1192","1192","1192","8482.80078125","8482.80078125","8482.80078125"
"113999","1203","1203","1203","8003.62939453125","8003.62939453125","8003.62939453125","1203","1203","1203","7978.22509765625","7978.22509765625","7978.22509765625","1203","1203","1203","9083.2978515625","9083.2978515625","9083.2978515625","1203","1203","1203","8855.5693359375","8855.5693359375","8855.5693359375","1203","1203","1203","8485.54296875","8485.54296875","8485.54296875"
"114999","1214","1214","1214","7928.44873046875","7928.44873046875","7928.44873046875","1214","1214","1214","8166.79052734375","8166.79052734375","8166.79052734375","1214","1214","1214","9059.1904296875","9059.1904296875","9059.1904296875","1214","1214","1214","8906.02734375","8906.02734375","8906.02734375","1214","1214","1214","8298.291015625","8298.291015625","8298.291015625"
"115999","1225","1225","1225","8352.8837890625","8352.8837890625","8352.8837890625","1225","1225","1225","8360.7734375","8360.7734375","8360.7734375","1225","1225","1225","9051.1376953125","9051.1376953125","9051.1376953125","1225","1225","1225","8744.7548828125","8744.7548828125","8744.7548828125","1225","1225","1225","8420.8515625","8420.8515625","8420.8515625"
"116999","1236","1236","1236","8021.91357421875","8021.91357421875","8021.91357421875","1236","1236","1236","8491.537109375","8491.537109375","8491.537109375","1236","1236","1236","9095.41015625","9095.41015625","9095.41015625","1236","1236","1236","8698.2626953125","8698.2626953125","8698.2626953125","1236","1236","1236","8463.392578125","8463.392578125","8463.392578125"
"117999","1247","1247","1247","8210.0380859375","8210.0380859375","8210.0380859375","1247","1247","1247","8364.646484375","8364.646484375","8364.646484375","1247","1247","1247","9159.5419921875","9159.5419921875","9159.5419921875","1247","1247","1247","8898.6279296875","8898.6279296875","8898.6279296875","1247","1247","1247","8430.9453125","8430.9453125","8430.9453125"
"118999","1258","1258","1258","8335.060546875","8335.060546875","8335.060546875","1258","1258","1258","8261.9013671875","8261.9013671875","8261.9013671875","1258","1258","1258","9199.2255859375","9199.2255859375","9199.2255859375","1258","1258","1258","9152.1435546875","9152.1435546875","9152.1435546875","1258","1258","1258","8281.78515625","8281.78515625","8281.78515625"
"119999","1269","1269","1269","8070.0439453125","8070.0439453125","8070.0439453125","1269","1269","1269","8391.8984375","8391.8984375","8391.8984375","1269","1269","1269","9135.5634765625","9135.5634765625","9135.5634765625","1269","1269","1269","9164.2119140625","9164.2119140625","9164.2119140625","1269","1269","1269","8297.4072265625","8297.4072265625","8297.4072265625"
"120999","1280","1280","1280","8081.580078125","8081.580078125","8081.580078125","1280","1280","1280","8461.7568359375","8461.7568359375","8461.7568359375","1280","1280","1280","9082.591796875","9082.591796875","9082.591796875","1280","1280","1280","8938.3544921875","8938.3544921875","8938.3544921875","1280","1280","1280","8204.439453125","8204.439453125","8204.439453125"
"121999","1291","1291","1291","8416.404296875","8416.404296875","8416.404296875","1291","1291","1291","8382.5224609375","8382.5224609375","8382.5224609375","1291","1291","1291","8976.7275390625","8976.7275390625","8976.7275390625","1291","1291","1291","8719.4541015625","8719.4541015625","8719.4541015625","1291","1291","1291","8648.1474609375","8648.1474609375","8648.1474609375"
"122999","1302","1302","1302","8316.4384765625","8316.4384765625","8316.4384765625","1302","1302","1302","8367.87109375","8367.87109375","8367.87109375","1302","1302","1302","9342.2958984375","9342.2958984375","9342.2958984375","1302","1302","1302","9101.556640625","9101.556640625","9101.556640625","1302","1302","1302","8740.6025390625","8740.6025390625","8740.6025390625"
"123999","1313","1313","1313","8385.8671875","8385.8671875","8385.8671875","1313","1313","1313","8599.2841796875","8599.2841796875","8599.2841796875","1313","1313","1313","9313.2353515625","9313.2353515625","9313.2353515625","1313","1313","1313","8843.8837890625","8843.8837890625","8843.8837890625","1313","1313","1313","8508.3212890625","8508.3212890625","8508.3212890625"
"124999","1324","1324","1324","8363.416015625","8363.416015625","8363.416015625","1324","1324","1324","8414.77734375","8414.77734375","8414.77734375","1324","1324","1324","9304.1640625","9304.1640625","9304.1640625","1324","1324","1324","8939.71875","8939.71875","8939.71875","1324","1324","1324","8814.4072265625","8814.4072265625","8814.4072265625"
"125999","1335","1335","1335","8670.2060546875","8670.2060546875","8670.2060546875","1335","1335","1335","8274.455078125","8274.455078125","8274.455078125","1335","1335","1335","9102.0810546875","9102.0810546875","9102.0810546875","1335","1335","1335","8819.6865234375","8819.6865234375","8819.6865234375","1335","1335","1335","8835.0625","8835.0625","8835.0625"
"126999","1346","1346","1346","8222.380859375","8222.380859375","8222.380859375","1346","1346","1346","8459.728515625","8459.728515625","8459.728515625","1346","1346","1346","9325.5966796875","9325.5966796875","9325.5966796875","1346","1346","1346","9046.322265625","9046.322265625","9046.322265625","1346","1346","1346","8529.4296875","8529.4296875","8529.4296875"
"127999","1357","1357","1357","8788.669921875","8788.669921875","8788.669921875","1357","1357","1357","8718.0439453125","8718.0439453125","8718.0439453125","1357","1357","1357","9184.265625","9184.265625","9184.265625","1357","1357","1357","8965.724609375","8965.724609375","8965.724609375","1357","1357","1357","8699.3046875","8699.3046875","8699.3046875"
"128999","1368","1368","1368","8656.1767578125","8656.1767578125","8656.1767578125","1368","1368","1368","8545.6708984375","8545.6708984375","8545.6708984375","1368","1368","1368","9332.3466796875","9332.3466796875","9332.3466796875","1368","1368","1368","9052.44140625","9052.44140625","9052.44140625","1368","1368","1368","8571.6796875","8571.6796875","8571.6796875"
"129999","1379","1379","1379","8870.892578125","8870.892578125","8870.892578125","1379","1379","1379","8517.810546875","8517.810546875","8517.810546875","1379","1379","1379","9276.08984375","9276.08984375","9276.08984375","1379","1379","1379","9004.150390625","9004.150390625","9004.150390625","1379","1379","1379","8673.6884765625","8673.6884765625","8673.6884765625"
"130999","1390","1390","1390","8882.9091796875","8882.9091796875","8882.9091796875","1390","1390","1390","8577.7978515625","8577.7978515625","8577.7978515625","1390","1390","1390","9455.8173828125","9455.8173828125","9455.8173828125","1390","1390","1390","9140.9638671875","9140.9638671875","9140.9638671875","1390","1390","1390","8580.7509765625","8580.7509765625","8580.7509765625"
"131999","1401","1401","1401","8265.2880859375","8265.2880859375","8265.2880859375","1401","1401","1401","8382.2548828125","8382.2548828125","8382.2548828125","1401","1401","1401","9433.994140625","9433.994140625","9433.994140625","1401","1401","1401","9127.1796875","9127.1796875","9127.1796875","1401","1401","1401","8880.3154296875","8880.3154296875","8880.3154296875"
"132999","1412","1412","1412","8745.4404296875","8745.4404296875","8745.4404296875","1412","1412","1412","8684.646484375","8684.646484375","8684.646484375","1412","1412","1412","9492.87109375","9492.87109375","9492.87109375","1412","1412","1412","9078.5283203125","9078.5283203125","9078.5283203125","1412","1412","1412","8664.0146484375","8664.0146484375","8664.0146484375"
"133999","1423","1423","1423","8750.1513671875","8750.1513671875","8750.1513671875","1423","1423","1423","8492.783203125","8492.783203125","8492.783203125","1423","1423","1423","9313.564453125","9313.564453125","9313.564453125","1423","1423","1423","9467.4306640625","9467.4306640625","9467.4306640625","1423","1423","1423","9137.8740234375","9137.8740234375","9137.8740234375"
"134999","1434","1434","1434","8616.6103515625","8616.6103515625","8616.6103515625","1434","1434","1434","8786.625","8786.625","8786.625","1434","1434","1434","9212.1552734375","9212.1552734375","9212.1552734375","1434","1434","1434","9025.4970703125","9025.4970703125","9025.4970703125","1434","1434","1434","8890.1103515625","8890.1103515625","8890.1103515625"
"135999","1445","1445","1445","8794.7939453125","8794.7939453125","8794.7939453125","1445","1445","1445","8834.740234375","8834.740234375","8834.740234375","1445","1445","1445","9580.3330078125","9580.3330078125","9580.3330078125","1445","1445","1445","8586.376953125","8586.376953125","8586.376953125","1445","1445","1445","8978.5986328125","8978.5986328125","8978.5986328125"
"136999","1456","1456","1456","8697.0390625","8697.0390625","8697.0390625","1456","1456","1456","8626.947265625","8626.947265625","8626.947265625","1456","1456","1456","9518.412109375","9518.412109375","9518.412109375","1456","1456","1456","9232.2744140625","9232.2744140625","9232.2744140625","1456","1456","1456","9142.6279296875","9142.6279296875","9142.6279296875"
"137999","1467","1467","1467","4534.9609375","4534.9609375","4534.9609375","1467","1467","1467","8518.6357421875","8518.6357421875","8518.6357421875","1467","1467","1467","9694.630859375","9694.630859375","9694.630859375","1467","1467","1467","8944.853515625","8944.853515625","8944.853515625","1467","1467","1467","8704.9365234375","8704.9365234375","8704.9365234375"
"138999","1478","1478","1478","8932.07421875","8932.07421875","8932.07421875","1478","1478","1478","8573.9033203125","8573.9033203125","8573.9033203125","1478","1478","1478","9600.18359375","9600.18359375","9600.18359375","1478","1478","1478","9276.12890625","9276.12890625","9276.12890625","1478","1478","1478","9163.4423828125","9163.4423828125","9163.4423828125"
"139999","1489","1489","1489","8941.18359375","8941.18359375","8941.18359375","1489","1489","1489","8679.0224609375","8679.0224609375","8679.0224609375","1489","1489","1489","9472.3330078125","9472.3330078125","9472.3330078125","1489","1489","1489","9473.091796875","9473.091796875","9473.091796875","1489","1489","1489","9241.6123046875","9241.6123046875","9241.6123046875"
"140999","1500","1500","1500","8816.779296875","8816.779296875","8816.779296875","1500","1500","1500","8616.0302734375","8616.0302734375","8616.0302734375","1500","1500","1500","9593.29296875","9593.29296875","9593.29296875","1500","1500","1500","9197.4931640625","9197.4931640625","9197.4931640625","1500","1500","1500","8840.576171875","8840.576171875","8840.576171875"
"141999","1511","1511","1511","9134.275390625","9134.275390625","9134.275390625","1511","1511","1511","8714.087890625","8714.087890625","8714.087890625","1511","1511","1511","9449.8759765625","9449.8759765625","9449.8759765625","1511","1511","1511","9194.529296875","9194.529296875","9194.529296875","1511","1511","1511","8926.578125","8926.578125","8926.578125"
"142999","1522","1522","1522","8990.919921875","8990.919921875","8990.919921875","1522","1522","1522","8887.6123046875","8887.6123046875","8887.6123046875","1522","1522","1522","9587.3427734375","9587.3427734375","9587.3427734375","1522","1522","1522","9273.6494140625","9273.6494140625","9273.6494140625","1522","1522","1522","9011.3310546875","9011.3310546875","9011.3310546875"
"143999","1533","1533","1533","5095.87060546875","5095.87060546875","5095.87060546875","1533","1533","1533","8922.4228515625","8922.4228515625","8922.4228515625","1533","1533","1533","7639.86181640625","7639.86181640625","7639.86181640625","1533","1533","1533","9383.599609375","9383.599609375","9383.599609375","1533","1533","1533","8883.9033203125","8883.9033203125","8883.9033203125"
"144999","1544","1544","1544","8864.560546875","8864.560546875","8864.560546875","1544","1544","1544","8836.1123046875","8836.1123046875","8836.1123046875","1544","1544","1544","9725.220703125","9725.220703125","9725.220703125","1544","1544","1544","9474.70703125","9474.70703125","9474.70703125","1544","1544","1544","9116.662109375","9116.662109375","9116.662109375"
"145999","1555","1555","1555","9078.5263671875","9078.5263671875","9078.5263671875","1555","1555","1555","8748.494140625","8748.494140625","8748.494140625","1555","1555","1555","9423.9130859375","9423.9130859375","9423.9130859375","1555","1555","1555","8924.7529296875","8924.7529296875","8924.7529296875","1555","1555","1555","8795.2900390625","8795.2900390625","8795.2900390625"
"146999","1566","1566","1566","9007.978515625","9007.978515625","9007.978515625","1566","1566","1566","8913.3896484375","8913.3896484375","8913.3896484375","1566","1566","1566","9629.2578125","9629.2578125","9629.2578125","1566","1566","1566","9125.66015625","9125.66015625","9125.66015625","1566","1566","1566","9490.2373046875","9490.2373046875","9490.2373046875"
"147999","1577","1577","1577","8740.36328125","8740.36328125","8740.36328125","1577","1577","1577","8735.2412109375","8735.2412109375","8735.2412109375","1577","1577","1577","9224.1103515625","9224.1103515625","9224.1103515625","1577","1577","1577","9318.22265625","9318.22265625","9318.22265625","1577","1577","1577","8969.6396484375","8969.6396484375","8969.6396484375"
"148999","1588","1588","1588","8745.671875","8745.671875","8745.671875","1588","1588","1588","8702.7109375","8702.7109375","8702.7109375","1588","1588","1588","9620.857421875","9620.857421875","9620.857421875","1588","1588","1588","9432.5830078125","9432.5830078125","9432.5830078125","1588","1588","1588","8879.828125","8879.828125","8879.828125"
"149999","1599","1599","1599","8992.4375","8992.4375","8992.4375","1599","1599","1599","8885.091796875","8885.091796875","8885.091796875","1599","1599","1599","9451.9853515625","9451.9853515625","9451.9853515625","1599","1599","1599","9262.931640625","9262.931640625","9262.931640625","1599","1599","1599","9074.4765625","9074.4765625","9074.4765625"
"150999","1610","1610","1610","9032.7705078125","9032.7705078125","9032.7705078125","1610","1610","1610","8860.251953125","8860.251953125","8860.251953125","1610","1610","1610","9530.828125","9530.828125","9530.828125","1610","1610","1610","9138.02734375","9138.02734375","9138.02734375","1610","1610","1610","9152.107421875","9152.107421875","9152.107421875"
"151999","1621","1621","1621","9267.765625","9267.765625","9267.765625","1621","1621","1621","8626.7177734375","8626.7177734375","8626.7177734375","1621","1621","1621","9218.0966796875","9218.0966796875","9218.0966796875","1621","1621","1621","9252.341796875","9252.341796875","9252.341796875","1621","1621","1621","9161.798828125","9161.798828125","9161.798828125"
